Year,US_GDP_BN,GDP_Growth_PC
1980,2863,0
1981,3211,12.2
1982,3345,4.2
1983,3638,8.8
1984,4041,11.1
1985,4347,7.6
1986,4590,5.6
1987,4870,6.1
1988,5253,7.9
1989,5658,7.7
1990,5980,5.7
1991,6174,3.3
1992,6539,5.9
1993,6879,5.2
1994,7309,6.3
1995,7664,4.9
1996,8100,5.7
1997,8609,6.3
1998,9089,5.6
1999,9661,6.3
2000,10285,6.5
2001,10622,3.3
2002,10978,3.3
2003,11511,4.9
2004,12275,6.6
2005,13094,6.7
2006,13856,5.8
2007,14478,4.5
2008,14719,1.7
2009,14419,-2
2010,14964,3.8
2011,15518,3.7
2012,16163,4.2
2013,16768,3.7
2014,17419,3.9
